"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Run/Debug","Terminate","⌘F2","Debugging"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Navigate","Quick Outline","⌘O","PDE editor"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Run/Debug","Step Return","F7","Debugging"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"File","Close All","⇧⌘W","In Windows"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Window","Next View","⌘F7","In Windows"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Text Editing","Line End","⌘→","Editing Text"
"Edit","Delete","⌦","In Windows"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Go to Line","⌘L","Editing Text"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Debug","⌘F11","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Git","Commit...","⌥⌘3","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"File","New","⌘N","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Server","Run","⌥⌘R","In Servers View"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Navigate","Forward History","⌥⌘→","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Edit","Context Information","⌥?","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Views","Show View","⌥⌘Q Q","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Navigate","Open Declaration","F3","JavaScript View"
"Navigate","Backward History","⌥⌘←","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"File","Properties","⌘I","In Windows"
"File","Properties","⌥↩","In Windows"
"Edit","Context Information","⇧⌥?","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Navigate","Open Type","⇧⌘T","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"Navigate","Previous","⇧⌘.","In Windows"
"Terminal view commands","Copy","⌘C","Terminal Control in Focus"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Window","Quick Switch Editor","⌘E","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Project","Build All","⌘B","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Window","Next Editor","⌘F6","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Incremental Find","⌘J","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"File","Refresh","F5","In Windows"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Server","Publish","⌥⌘P","In Servers View"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Run/Debug","EOF","⌃D","In I/O Console"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Edit","Word Completion","⌥⌘/","Editing Text"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Next","⌘.","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"File","New menu","⌥⌘N","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Terminal Commands","Open Terminal","⇧⌃⌥T","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"File","Print","⌘P","In Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"File","Close","⌘W","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Source","Format","⇧⌘F","Editing Java Source"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"View","Zoom Out","⌘-","In Windows"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Window","Close Dialog","⌘W","In Dialogs"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Server","Stop","⌥⌘S","In Servers View"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Search","Open Search Dialog","⌃H","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Control in Focus"
"File","Save","⌘S","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Text Editing","Previous Word","⌥←","Editing Text"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Run/Debug","Run to Line","⌘R","Debugging"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Server","Debug","⌥⌘D","In Servers View"
"Text Editing","Text End","⌘↘","Editing Text"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"View","Zoom In","⌘=","In Windows"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
